,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
3840,juelire01,2.0,0.0,2.0,24.0,46.0,2.0,0.0,5.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
3841,kellech01,13.0,166.0,72.0,46.0,3790.0,784.0,23.0,6.0,46.0,50.0,1085.0,10.0,189.0,0.0,0.0,0.0,2235.0,725.0,760.0,45.0,0.0,20.0,499.0,0.0,0.0,0.0
3842,kennebo01,46.0,196.0,41.0,1139.0,4624.0,364.0,50.0,113.0,138.0,151.0,1176.0,6.0,63.0,2.0,5455.0,0.0,2016.0,514.0,514.0,45.0,6.0,65.0,443.0,0.0,0.0,0.0
3843,krachjo01,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3844,leiped01,4.0,1.0,2.0,45.0,62.0,3.0,1.0,8.0,6.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,5.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0
3845,letchch01,6.0,10.0,0.0,347.0,461.0,35.0,0.0,68.0,22.0,14.0,108.0,2.0,1.0,0.0,0.0,0.0,254.0,32.0,37.0,0.0,0.0,6.0,31.0,0.0,0.0,0.0
3846,lillabi01,3.0,9.0,2.0,182.0,225.0,31.0,1.0,31.0,24.0,3.0,55.0,1.0,1.0,0.0,0.0,0.0,125.0,30.0,22.0,0.0,0.0,7.0,29.0,0.0,0.0,0.0
3847,loanebo01,2.0,3.0,0.0,4.0,31.0,6.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,2.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0
3848,majesha01,31.0,181.0,27.0,1864.0,3421.0,299.0,11.0,218.0,91.0,117.0,956.0,27.0,57.0,1.0,1160.0,0.0,1015.0,404.0,501.0,10.0,1.0,42.0,260.0,0.0,0.0,0.0
3849,masiph01,22.0,164.0,31.0,512.0,3468.0,410.0,1.0,72.0,76.0,107.0,917.0,10.0,47.0,0.0,0.0,39.0,3884.0,420.0,417.0,45.0,0.0,58.0,311.0,0.0,0.0,0.0
3850,maypi01,6.0,102.0,11.0,1397.0,2215.0,261.0,0.0,115.0,85.0,69.0,610.0,9.0,4.0,0.0,0.0,0.0,738.0,210.0,215.0,13.0,0.0,61.0,121.0,0.0,0.0,0.0
3851,mccosba01,18.0,214.0,71.0,48.0,4172.0,497.0,31.0,12.0,41.0,62.0,1301.0,10.0,24.0,0.0,0.0,0.0,2490.0,664.0,397.0,58.0,0.0,81.0,261.0,0.0,0.0,0.0
3852,mcnambo01,4.0,1.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3853,neighbo01,1.0,0.0,0.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3854,oneilha02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3855,orengjo01,16.0,54.0,8.0,711.0,1120.0,156.0,1.0,155.0,69.0,23.0,266.0,3.0,17.0,0.0,0.0,0.0,1264.0,129.0,122.0,12.0,0.0,27.0,219.0,0.0,0.0,0.0
3856,parsodi01,3.0,7.0,0.0,75.0,295.0,20.0,0.0,8.0,11.0,10.0,52.0,0.0,2.0,0.0,0.0,7.0,443.0,10.0,15.0,1.0,0.0,6.0,39.0,0.0,0.0,0.0
3857,powerle01,2.0,1.0,1.0,4.0,55.0,4.0,0.0,10.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,112.0,7.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0
3858,prichbo01,1.0,5.0,0.0,13.0,85.0,19.0,2.0,30.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,251.0,8.0,8.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0
3859,quickha01,1.0,1.0,0.0,33.0,41.0,1.0,0.0,6.0,4.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3860,repasbo01,4.0,12.0,1.0,183.0,265.0,33.0,1.0,22.0,12.0,6.0,64.0,1.0,2.0,0.0,0.0,0.0,143.0,30.0,24.0,6.0,0.0,1.0,32.0,0.0,0.0,0.0
3861,rosarbu01,13.0,147.0,15.0,511.0,3198.0,315.0,18.0,92.0,36.0,97.0,836.0,10.0,18.0,0.0,0.0,28.0,3845.0,335.0,367.0,17.0,0.0,48.0,161.0,0.0,0.0,0.0
3862,rossch01,6.0,53.0,21.0,32.0,1309.0,124.0,0.0,6.0,19.0,21.0,316.0,5.0,34.0,0.0,0.0,0.0,750.0,156.0,170.0,6.0,0.0,4.0,281.0,0.0,0.0,0.0
